0.8080321,1.14557,-0.0909510,
0.8108385,1.134372,-0.0922055,
0.8137441,1.117825,-0.0944013,
0.8168868,1.100608,-0.0964117,
0.8196852,1.079918,-0.0904058,
0.8230488,1.056242,-0.0823409,
0.8278416,1.029827,-0.0675110,
0.8295237,1.005623,-0.0548900,
0.8256577,0.9780139,-0.030369,
0.8223506,0.9517657,-0.00935196,
0.8103857,0.923591,0.0163166,
0.7932346,0.8935488,0.0412167,
0.7710305,0.8632743,0.0619009,
0.7461314,0.8342272,0.0800495,
0.7214277,0.8063763,0.0953776,
0.6895627,0.788353,0.113018,
0.6623712,0.7667134,0.121100,
0.6368606,0.7481325,0.126819,
0.6149997,0.733391,0.129803,
0.5924934,0.7169913,0.134299,
0.5728056,0.7050468,0.136779,
0.5546798,0.6949657,0.13860,
0.5405315,0.6783342,0.12555,
0.5279531,0.6737469,0.124960,
0.5051037,0.6656663,0.125993,
0.4972699,0.6623795,0.125025,
0.4917148,0.6615629,0.124331,
0.4862063,0.6588991,0.123296,
0.485837,0.6584707,0.121500,
0.4876826,0.6580317,0.119121,
0.4884375,0.6563818,0.116716,
0.4967338,0.6550963,0.112483,
0.5016764,0.652946,0.108737,
0.5100051,0.6498201,0.101983,
0.5203578,0.6471968,0.095888,
0.530772,0.6426803,0.0876568,
0.541253,0.6397653,0.0806914,
0.5542078,0.6362677,0.0719165,
0.5665843,0.6317701,0.0621159,
0.579082,0.6278346,0.051594,
0.5956498,0.6219115,0.0380666,
0.608761,0.6172739,0.0258180,
0.6251062,0.610464,0.0107009,
0.6415608,0.6030345,-0.00597107,
0.6580137,0.595418,-0.0242220,
0.6720934,0.5885719,-0.0425655,
0.6883717,0.5811063,-0.0650166,
0.7034842,0.5748593,-0.0857826,
0.7172161,0.5706546,-0.107220,
0.7303693,0.5657306,-0.131468,
0.7417295,0.5617551,-0.156077,
0.750828,0.5600648,-0.17941,
0.7596135,0.5570786,-0.202786,
0.7642879,0.5524374,-0.226591,
0.7697822,0.5506481,-0.248010,
0.7711718,0.5513831,-0.266274,
0.771956,0.5496271,-0.286560,
0.7736796,0.5519085,-0.302057,
0.7751529,0.5551357,-0.315290,
0.7744182,0.5583557,-0.326556,
0.7756497,0.5631908,-0.336178,
0.7772481,0.5690392,-0.344216,
0.7781535,0.5762445,-0.352517,
0.7803351,0.5836598,-0.356602,
0.7830461,0.5918155,-0.358472,
0.7872868,0.6006124,-0.359995,
0.7912208,0.6121764,-0.355783,
0.7948415,0.6227673,-0.354764,
0.800912,0.6378858,-0.349496,
0.8057885,0.6524651,-0.344368,
0.8104219,0.6667262,-0.339754,
0.8160249,0.6850418,-0.330890,
0.8207424,0.7011065,-0.32351,
0.8256042,0.7213373,-0.311107,
0.8299122,0.7422471,-0.300115,
0.8339075,0.7651062,-0.287193,
0.8367932,0.7903918,-0.272840,
0.8371935,0.8195009,-0.256093,
0.8367593,0.8479254,-0.239127,
0.8352264,0.8749865,-0.223724,
0.8306229,0.9080179,-0.204133,
0.8245436,0.9402087,-0.187050,
0.8144603,0.972494,-0.170603,
0.8044827,1.006627,-0.154046,
0.7913111,1.038996,-0.139258,
0.7752601,1.071063,-0.124128,
0.7571686,1.104008,-0.110767,
0.7389407,1.132191,-0.0995198,
0.7191689,1.158426,-0.0886006,
0.6989862,1.187842,-0.0785334,
0.6789222,1.209929,-0.0703465,
0.6601362,1.229008,-0.064619,
0.6402727,1.252119,-0.0552512,
0.6223215,1.26801,-0.0488799,
0.6059068,1.282458,-0.042686,
0.5929876,1.290945,-0.044318,
0.5793583,1.302841,-0.0398323,
0.5666118,1.313871,-0.0359649,
